,Training_paths
40,/Adenocarcinoma/label\GTxc2014144-5-400-005.png
41,/Adenocarcinoma/label\GTxc2013010-2-400-001.png
42,/Adenocarcinoma/label\GT2100276-1-400-003.png
43,/Adenocarcinoma/label\GTXC2015426-1-400-003.png
44,/Adenocarcinoma/label\GTxc2013961-1-400-003.png
45,/Adenocarcinoma/label\GT2014666-1-400-002.png
46,/Adenocarcinoma/label\GTxc2012946-2-400-004.png
47,/Adenocarcinoma/label\GTXC2013391-1-400-011.png
48,/Adenocarcinoma/label\GT2014662-3-400-006.png
49,/Adenocarcinoma/label\GT2016867-1-400-002.png
50,/Adenocarcinoma/label\GTxc2012888-1-400-022.png
51,/Adenocarcinoma/label\GTxc2013512-2-400-008.png
52,/Adenocarcinoma/label\GT2012329-1-400-015.png
53,/Adenocarcinoma/label\GTxc2013496-2-400-005.png
54,/Adenocarcinoma/label\GTXC2015354-1-400-006.png
55,/Adenocarcinoma/label\GT2012358-2-400-010.png
56,/Adenocarcinoma/label\GT2012508-3-400-001.png
57,/Adenocarcinoma/label\GT2100011-2-400-001.png
58,/Adenocarcinoma/label\GT2012353-1-400-008.png
59,/Adenocarcinoma/label\GTxc2013450-1-400-006.png
60,/Adenocarcinoma/label\GT2012353-1-400-005.png
61,/Adenocarcinoma/label\GTXC2015413-3-400-005.png
62,/Adenocarcinoma/label\GTxc2013965-1-400-003.png
63,/Adenocarcinoma/label\GTxc2013980-1-400-003.png
64,/Adenocarcinoma/label\GTxc2012822-1-400-001.png
65,/Adenocarcinoma/label\GTxc2012888-1-400-001.png
66,/Adenocarcinoma/label\GTxc2012822-1-400-007.png
67,/Adenocarcinoma/label\GT2001849-1-400-002.png
68,/Adenocarcinoma/label\GTXC2013391-1-400-001.png
69,/Adenocarcinoma/label\GT2012223-4-400-003.png
70,/Adenocarcinoma/label\GT2012223-4-400-002.png
71,/Adenocarcinoma/label\GT2014665-2-400-003.png
72,/Adenocarcinoma/label\GTxc2013512-1-400-025.png
73,/Adenocarcinoma/label\GTxc2013010-2-400-004.png
74,/Adenocarcinoma/label\GTXC2015362-9-400-007.png
75,/Adenocarcinoma/label\GT2014666-1-400-004.png
76,/Adenocarcinoma/label\GTxc2012902-1-400-010.png
77,/Adenocarcinoma/label\GTxc2012943-1-400-006.png
78,/Adenocarcinoma/label\GT2014666-1-400-003.png
79,/Adenocarcinoma/label\GTxc2012946-2-400-011.png
80,/Adenocarcinoma/label\GTxc2012962-1-400-003.png
81,/Adenocarcinoma/label\GT2016885-1-400-005.png
82,/Adenocarcinoma/label\GTxc2013451-1-400-002.png
83,/Adenocarcinoma/label\GTxc2013392-2-400-004.png
84,/Adenocarcinoma/label\GT2001849-1-400-006.png
85,/Adenocarcinoma/label\GT2001837-1-400-004.png
86,/Adenocarcinoma/label\GTXC2012151-2-400-004.png
87,/Adenocarcinoma/label\GT2016885-1-400-004.png
88,/Adenocarcinoma/label\GTxc2110176-3-400-005.png
89,/Adenocarcinoma/label\GTxc2013964-2-400-001.png
90,/Adenocarcinoma/label\GTxc2012943-1-400-007.png
91,/Adenocarcinoma/label\GTxc2012436-2-400-002.png
92,/Adenocarcinoma/label\GTxc2012902-1-400-009.png
93,/Adenocarcinoma/label\GTxc2013961-1-400-002.png
94,/Adenocarcinoma/label\GTXC2013386-1-400-002.png
95,/Adenocarcinoma/label\GT2100256-2-400-002.png
96,/Adenocarcinoma/label\GTXC2110135-1-400-002.png
97,/Adenocarcinoma/label\GT2001838-1-400-005.png
98,/Adenocarcinoma/label\GT2016882-1-400-001.png
99,/Adenocarcinoma/label\GT2012118-1-400-001.png
100,/Adenocarcinoma/label\GT2016827-1-400-001.png
101,/Adenocarcinoma/label\GTxc2012946-2-400-005.png
102,/Adenocarcinoma/label\GTxc2013512-1-400-012.png
103,/Adenocarcinoma/label\GTxc2014144-4-400-008.png
104,/Adenocarcinoma/label\GTxc2013965-1-400-006.png
105,/Adenocarcinoma/label\GTXC2012151-2-400-010.png
106,/Adenocarcinoma/label\GTxc2013496-4-400-002.png
107,/Adenocarcinoma/label\GT2014818-1-400-002.png
108,/Adenocarcinoma/label\GT2016841-3-400-003.png
109,/Adenocarcinoma/label\GT2012353-1-400-009.png
110,/Adenocarcinoma/label\GTxc2013512-1-400-024.png
111,/Adenocarcinoma/label\GTXC2013391-1-400-010.png
112,/Adenocarcinoma/label\GTxc2013965-1-400-004.png
113,/Adenocarcinoma/label\GT2017148-1-400-001.png
114,/Adenocarcinoma/label\GT2014667-1-400-004.png
115,/Adenocarcinoma/label\GTxc2013496-1-400-009.png
116,/Adenocarcinoma/label\GTXC2015349-2-400-007.png
117,/Adenocarcinoma/label\GT2014662-2-400-001.png
118,/Adenocarcinoma/label\GT2012329-1-400-016.png
119,/Adenocarcinoma/label\GTxc2012888-1-400-019.png
120,/Adenocarcinoma/label\GTxc2012888-1-400-003.png
121,/Adenocarcinoma/label\GT2016906-1-400-005.png
122,/Adenocarcinoma/label\GT2012329-1-400-009.png
123,/Adenocarcinoma/label\GTxc2012888-1-400-018.png
124,/Adenocarcinoma/label\GT2014667-2-400-004.png
125,/Adenocarcinoma/label\GT2016893-1-400-008.png
126,/Adenocarcinoma/label\GT2016841-3-400-002.png
127,/Adenocarcinoma/label\GT2012353-1-400-004.png
128,/Adenocarcinoma/label\GTxc2013512-1-400-003.png
129,/Adenocarcinoma/label\GT2012508-3-400-004.png
130,/Adenocarcinoma/label\GT2012525-1-400-001.png
131,/Adenocarcinoma/label\GTxc2013496-2-400-006.png
132,/Adenocarcinoma/label\GT2017150-1-400-003.png
133,/Adenocarcinoma/label\GT2016841-3-400-004.png
134,/Adenocarcinoma/label\GT2001837-1-400-001.png
135,/Adenocarcinoma/label\GTxc2014144-5-400-006.png
136,/Adenocarcinoma/label\GTXC2015344-2-400-003.png
137,/Adenocarcinoma/label\GTxc2013512-1-400-022.png
138,/Adenocarcinoma/label\GTXC2110135-2-400-005.png
139,/Adenocarcinoma/label\GT2016906-2-400-001.png
140,/Adenocarcinoma/label\GTxc2013450-1-400-005.png
141,/Adenocarcinoma/label\GT2012508-3-400-003.png
142,/Adenocarcinoma/label\GT2016841-1-400-004.png
143,/Adenocarcinoma/label\GTxc2013980-1-400-001.png
144,/Adenocarcinoma/label\GTxc2012946-2-400-008.png
145,/Adenocarcinoma/label\GTXC2015422-1-400-003.png
146,/Adenocarcinoma/label\GT2016906-1-400-002.png
147,/Adenocarcinoma/label\GT2100120-3-400-010.png
148,/Adenocarcinoma/label\GTxc2012946-2-400-009.png
149,/Adenocarcinoma/label\GT2013132-1-400-004.png
150,/Adenocarcinoma/label\GTxc2012990-1-400-006.png
151,/Adenocarcinoma/label\GTxc2012888-1-400-013.png
152,/Adenocarcinoma/label\GTxc2013962-1-400-002.png
153,/Adenocarcinoma/label\GTxc2012996-1-400-005.png
154,/Adenocarcinoma/label\GTXC2014131-1-400-008.png
155,/Adenocarcinoma/label\GT2016893-1-400-005.png
156,/Adenocarcinoma/label\GTxc2012996-3-400-007.png
157,/Adenocarcinoma/label\GT2100111-1-400-003.png
158,/Adenocarcinoma/label\GT2100120-3-400-002.png
159,/Adenocarcinoma/label\GTXC2102280-1-400-004.png
160,/Adenocarcinoma/label\GT2012324-1-400-002.png
161,/Adenocarcinoma/label\GTXC2013386-1-400-009.png
162,/Adenocarcinoma/label\GTXC2014131-1-400-010.png
163,/Adenocarcinoma/label\GTxc2012902-1-400-003.png
164,/Adenocarcinoma/label\GT2016885-3-400-002.png
165,/Adenocarcinoma/label\GT2014744-1-400-003.png
166,/Adenocarcinoma/label\GTxc2110176-3-400-006.png
167,/Adenocarcinoma/label\GTxc2013496-4-400-003.png
168,/Adenocarcinoma/label\GT2012358-2-400-013.png
169,/Adenocarcinoma/label\GT2012324-1-400-015.png
170,/Adenocarcinoma/label\GTxc2012996-3-400-002.png
171,/Adenocarcinoma/label\GTxc2012996-2-400-006.png
172,/Adenocarcinoma/label\GT2012358-2-400-006.png
173,/Adenocarcinoma/label\GTxc2012888-1-400-012.png
174,/Adenocarcinoma/label\GTxc2013512-2-400-016.png
175,/Adenocarcinoma/label\GTxc2012996-1-400-003.png
176,/Adenocarcinoma/label\GTXC2102280-1-400-008.png
177,/Adenocarcinoma/label\GT2014666-1-400-005.png
178,/Adenocarcinoma/label\GT2100011-2-400-006.png
179,/Adenocarcinoma/label\GTXC2015413-3-400-004.png
180,/Adenocarcinoma/label\GTxc2014131-1-400-003.png
181,/Adenocarcinoma/label\GTxc2014131-3-400-007.png
182,/Adenocarcinoma/label\GT2013152-2-400-003.png
183,/Adenocarcinoma/label\GT2012508-3-400-011.png
184,/Adenocarcinoma/label\GTxc2013489-1-400-003.png
185,/Adenocarcinoma/label\GTxc2013512-1-400-019.png
186,/Adenocarcinoma/label\GT2014667-2-400-001.png
187,/Adenocarcinoma/label\GTxc2012943-1-400-008.png
188,/Adenocarcinoma/label\GT2012324-1-400-006.png
189,/Adenocarcinoma/label\GTXC2110135-2-400-008.png
190,/Adenocarcinoma/label\GTxc2014144-5-400-004.png
191,/Adenocarcinoma/label\GTxc2012902-1-400-008.png
192,/Adenocarcinoma/label\GT2100120-4-400-003.png
193,/Adenocarcinoma/label\GTXC2013391-1-400-002.png
194,/Adenocarcinoma/label\GTxc2013965-1-400-008.png
195,/Adenocarcinoma/label\GT2013132-1-400-002.png
196,/Adenocarcinoma/label\GTXC2014131-1-400-009.png
197,/Adenocarcinoma/label\GT2013132-1-400-001.png
198,/Adenocarcinoma/label\GTXC2015354-1-400-001.png
199,/Adenocarcinoma/label\GT2016885-3-400-004.png
200,/Adenocarcinoma/label\GT2100120-4-400-002.png
201,/Adenocarcinoma/label\GT2001849-1-400-010.png
202,/Adenocarcinoma/label\GT2014665-5-400-001.png
203,/Adenocarcinoma/label\GTxc2013496-1-400-013.png
204,/Adenocarcinoma/label\GT2100120-3-400-004.png
205,/Adenocarcinoma/label\GTXC2015349-2-400-002.png
206,/Adenocarcinoma/label\GTxc2013980-1-400-005.png
207,/Adenocarcinoma/label\GT2001849-1-400-003.png
208,/Adenocarcinoma/label\GTXC2015362-9-400-003.png
209,/Adenocarcinoma/label\GTXC2015362-9-400-004.png
210,/Adenocarcinoma/label\GT2100111-1-400-001.png
211,/Adenocarcinoma/label\GTXC2013391-1-400-003.png
212,/Adenocarcinoma/label\GT2012118-1-400-004.png
213,/Adenocarcinoma/label\GTxc2012996-2-400-007.png
214,/Adenocarcinoma/label\GT2014665-3-400-001.png
215,/Adenocarcinoma/label\GT2012219-1-400-001.png
216,/Adenocarcinoma/label\GT2014666-1-400-001.png
217,/Adenocarcinoma/label\GT2016848-1-400-004.png
218,/Adenocarcinoma/label\GT2100011-1-400-004.png
219,/Adenocarcinoma/label\GTxc2014144-4-400-007.png
220,/Adenocarcinoma/label\GTXC2015371-1-400-004.png
221,/Adenocarcinoma/label\GTxc2013496-4-400-007.png
222,/Adenocarcinoma/label\GT2016893-1-400-009.png
223,/Adenocarcinoma/label\GTxc2013010-2-400-002.png
224,/Adenocarcinoma/label\GT2014662-2-400-002.png
225,/Adenocarcinoma/label\GT2012525-1-400-002.png
226,/Adenocarcinoma/label\GTXC2102280-1-400-003.png
227,/Adenocarcinoma/label\GTxc2012962-1-400-014.png
228,/Adenocarcinoma/label\GTXC2013386-1-400-001.png
229,/Adenocarcinoma/label\GTXC2015413-3-400-006.png
230,/Adenocarcinoma/label\GT2017150-1-400-001.png
231,/Adenocarcinoma/label\GT2012468-1-400-006.png
232,/Adenocarcinoma/label\GTxc2013512-1-400-017.png
233,/Adenocarcinoma/label\GT2014665-5-400-002.png
234,/Adenocarcinoma/label\GTXC2013391-1-400-008.png
235,/Adenocarcinoma/label\GTxc2012468-1-400-003.png
236,/Adenocarcinoma/label\GT2012324-1-400-013.png
237,/Adenocarcinoma/label\GTxc2012990-1-400-003.png
238,/Adenocarcinoma/label\GT2016827-1-400-002.png
239,/Adenocarcinoma/label\GT2016906-2-400-003.png
240,/Adenocarcinoma/label\GT2001849-1-400-008.png
241,/Adenocarcinoma/label\GT2012525-1-400-003.png
242,/Adenocarcinoma/label\GT2100120-4-400-004.png
243,/Adenocarcinoma/label\GT2016885-1-400-003.png
244,/Adenocarcinoma/label\GTxc2012943-1-400-005.png
245,/Adenocarcinoma/label\GTXC2110185-1-400-003.png
246,/Adenocarcinoma/label\GTxc2012996-3-400-001.png
247,/Adenocarcinoma/label\GTXC2110185-1-400-001.png
248,/Adenocarcinoma/label\GTxc2014131-3-400-005.png
249,/Adenocarcinoma/label\GT2014692-1-400-001.png
250,/Adenocarcinoma/label\GT2012508-3-400-002.png
251,/Adenocarcinoma/label\GTxc2012888-1-400-020.png
252,/Adenocarcinoma/label\GTxc2013512-2-400-007.png
253,/Adenocarcinoma/label\GTxc2013496-4-400-001.png
254,/Adenocarcinoma/label\GT2012353-1-400-010.png
255,/Adenocarcinoma/label\GT2014666-1-400-006.png
256,/Adenocarcinoma/label\GT2100011-2-400-003.png
257,/Adenocarcinoma/label\GTxc2014144-5-400-007.png
258,/Adenocarcinoma/label\GTxc2012996-1-400-001.png
259,/Adenocarcinoma/label\GTxc2012996-1-400-010.png
260,/Adenocarcinoma/label\GTxc2012962-1-400-004.png
261,/Adenocarcinoma/label\GTxc2013496-1-400-007.png
262,/Adenocarcinoma/label\GTxc2013512-2-400-005.png
263,/Adenocarcinoma/label\GTxc2013496-2-400-001.png
264,/Adenocarcinoma/label\GT2001838-1-400-001.png
265,/Adenocarcinoma/label\GTxc2014144-4-400-009.png
266,/Adenocarcinoma/label\GT2012324-1-400-001.png
267,/Adenocarcinoma/label\GTxc2013962-1-400-001.png
268,/Adenocarcinoma/label\GT2014662-2-400-005.png
269,/Adenocarcinoma/label\GTxc2013010-1-400-001.png
270,/Adenocarcinoma/label\GT2014665-4-400-001.png
271,/Adenocarcinoma/label\GT2001849-1-400-007.png
272,/Adenocarcinoma/label\GT2012324-1-400-004.png
273,/Adenocarcinoma/label\GTxc2014144-4-400-003.png
274,/Adenocarcinoma/label\GTxc2014131-3-400-003.png
275,/Adenocarcinoma/label\GTxc2012468-1-400-002.png
276,/Adenocarcinoma/label\GT2016906-2-400-006.png
277,/Adenocarcinoma/label\GTxc2012943-1-400-003.png
278,/Adenocarcinoma/label\GT2016841-1-400-001.png
279,/Adenocarcinoma/label\GT2012118-1-400-005.png
280,/Adenocarcinoma/label\GTxc2013451-1-400-005.png
281,/Adenocarcinoma/label\GTXC2015422-1-400-007.png
282,/Adenocarcinoma/label\GTXC2014065-1-400-002.png
283,/Adenocarcinoma/label\GT2016841-1-400-005.png
284,/Adenocarcinoma/label\GT2012165-1-400-007.png
285,/Adenocarcinoma/label\GTxc2014131-3-400-006.png
286,/Adenocarcinoma/label\GTXC2014153-3-400-003.png
287,/Adenocarcinoma/label\GTXC2110185-1-400-002.png
288,/Adenocarcinoma/label\GTxc2014144-3-400-001.png
289,/Adenocarcinoma/label\GTxc2013512-1-400-004.png
290,/Adenocarcinoma/label\GTxc2012996-2-400-002.png
291,/Adenocarcinoma/label\GT2014744-1-400-002.png
292,/Adenocarcinoma/label\GTxc2013512-1-400-006.png
293,/Adenocarcinoma/label\GTxc2013512-1-400-015.png
294,/Adenocarcinoma/label\GTxc2012888-1-400-009.png
295,/Adenocarcinoma/label\GTxc2014144-3-400-003.png
296,/Adenocarcinoma/label\GTxc2013496-3-400-005.png
297,/Adenocarcinoma/label\GTxc2014144-3-400-002.png
298,/Adenocarcinoma/label\GT2014662-3-400-005.png
299,/Adenocarcinoma/label\GTxc2012990-1-400-002.png
300,/Adenocarcinoma/label\GT2014662-1-400-002.png
301,/Adenocarcinoma/label\GTxc2013496-1-400-003.png
302,/Adenocarcinoma/label\GTxc2012990-1-400-001.png
303,/Adenocarcinoma/label\GTxc2013010-2-400-003.png
304,/Adenocarcinoma/label\GT2012468-1-400-004.png
305,/Adenocarcinoma/label\GT2016841-1-400-002.png
306,/Adenocarcinoma/label\GTxc2013964-2-400-004.png
307,/Adenocarcinoma/label\GT2012358-2-400-009.png
308,/Adenocarcinoma/label\GTXC2015401-1-400-003.png
309,/Adenocarcinoma/label\GTXC2015401-1-400-001.png
310,/Adenocarcinoma/label\GT2012508-3-400-006.png
311,/Adenocarcinoma/label\GT2012324-1-400-009.png
312,/Adenocarcinoma/label\GT2014662-1-400-001.png
313,/Adenocarcinoma/label\GTXC2015354-1-400-005.png
314,/Adenocarcinoma/label\GTxc2014065-2-400-003.png
315,/Adenocarcinoma/label\GT2014822-1-400-003.png
316,/Adenocarcinoma/label\GTxc2013496-4-400-008.png
317,/Adenocarcinoma/label\GTxc2013392-2-400-003.png
318,/Adenocarcinoma/label\GT2001838-1-400-004.png
319,/Adenocarcinoma/label\GTxc2013512-1-400-021.png
320,/Adenocarcinoma/label\GT2012165-1-400-006.png
321,/Adenocarcinoma/label\GTXC2102280-1-400-006.png
322,/Adenocarcinoma/label\GT2016885-1-400-001.png
323,/Adenocarcinoma/label\GT2100011-2-400-005.png
324,/Adenocarcinoma/label\GTxc2013010-1-400-002.png
325,/Adenocarcinoma/label\GTxc2013496-1-400-008.png
326,/Adenocarcinoma/label\GTxc2012996-1-400-007.png
327,/Adenocarcinoma/label\GT2016885-3-400-003.png
328,/Adenocarcinoma/label\GT2100011-1-400-003.png
329,/Adenocarcinoma/label\GTXC2015371-1-400-002.png
330,/Adenocarcinoma/label\GT2014209-1-400-001.png
331,/Adenocarcinoma/label\GTxc2013489-1-400-005.png
332,/Adenocarcinoma/label\GTxc2013512-2-400-010.png
333,/Adenocarcinoma/label\GTxc2012946-2-400-010.png
334,/Adenocarcinoma/label\GTxc2012822-1-400-002.png
335,/Adenocarcinoma/label\GT2013152-2-400-001.png
336,/Adenocarcinoma/label\GT2013151-1-400-001.png
337,/Adenocarcinoma/label\GTxc2012996-1-400-008.png
338,/Adenocarcinoma/label\GTxc2013980-1-400-002.png
339,/Adenocarcinoma/label\GTxc2012996-3-400-004.png
340,/Adenocarcinoma/label\GTXC2013386-1-400-008.png
341,/Adenocarcinoma/label\GTXC2110135-2-400-004.png
342,/Adenocarcinoma/label\GT2100276-1-400-001.png
343,/Adenocarcinoma/label\GT2014667-2-400-002.png
344,/Adenocarcinoma/label\GT2012508-3-400-010.png
345,/Adenocarcinoma/label\GTxc2013512-1-400-005.png
346,/Adenocarcinoma/label\GT2013132-1-400-003.png
347,/Adenocarcinoma/label\GTxc2014131-1-400-005.png
348,/Adenocarcinoma/label\GT2014789-2-400-002.png
349,/Adenocarcinoma/label\GT2016906-2-400-002.png
350,/Adenocarcinoma/label\GT2100009-1-400-002.png
351,/Adenocarcinoma/label\GTXC2015354-1-400-002.png
352,/Adenocarcinoma/label\GT2012508-3-400-009.png
353,/Adenocarcinoma/label\GT2014667-1-400-003.png
354,/Adenocarcinoma/label\GT2014818-1-400-001.png
355,/Adenocarcinoma/label\GTXC2015422-1-400-008.png
356,/Adenocarcinoma/label\GT2016848-1-400-005.png
357,/Adenocarcinoma/label\GTXC2015371-1-400-003.png
358,/Adenocarcinoma/label\GTxc2013512-2-400-009.png
359,/Adenocarcinoma/label\GT2013084-1-400-001.png
360,/Adenocarcinoma/label\GTXC2015354-1-400-004.png
361,/Adenocarcinoma/label\GTxc2013489-1-400-001.png
362,/Adenocarcinoma/label\GTxc2013450-1-400-004.png
363,/Adenocarcinoma/label\GTxc2013962-1-400-003.png
364,/Adenocarcinoma/label\GT2016781-1-400-002.png
365,/Adenocarcinoma/label\GTxc2013964-2-400-002.png
366,/Adenocarcinoma/label\GTxc2013450-1-400-001.png
367,/Adenocarcinoma/label\GTxc2013965-1-400-001.png
368,/Adenocarcinoma/label\GTxc2013392-2-400-002.png
369,/Adenocarcinoma/label\GTXC2015344-2-400-006.png
370,/Adenocarcinoma/label\GTxc2014144-3-400-005.png
371,/Adenocarcinoma/label\GTxc2012888-1-400-015.png
372,/Adenocarcinoma/label\GT2016893-1-400-004.png
373,/Adenocarcinoma/label\GTxc2013496-2-400-007.png
374,/Adenocarcinoma/label\GTXC2015426-1-400-002.png
375,/Adenocarcinoma/label\GTxc2012888-1-400-002.png
376,/Adenocarcinoma/label\GT2012468-1-400-005.png
377,/Adenocarcinoma/label\GT2016841-2-400-002.png
378,/Adenocarcinoma/label\GTxc2013512-1-400-020.png
379,/Adenocarcinoma/label\GTxc2013010-1-400-005.png
380,/Adenocarcinoma/label\GTXC2014153-3-400-002.png
381,/Adenocarcinoma/label\GT2016841-2-400-003.png
382,/Adenocarcinoma/label\GTxc2013489-1-400-002.png
383,/Adenocarcinoma/label\GT2100120-3-400-009.png
384,/Adenocarcinoma/label\GTXC2015362-9-400-006.png
385,/Adenocarcinoma/label\GTxc2013512-2-400-015.png
386,/Adenocarcinoma/label\GTXC2013391-1-400-007.png
387,/Adenocarcinoma/label\GT2016885-2-400-001.png
388,/Adenocarcinoma/label\GTxc2013451-1-400-004.png
389,/Adenocarcinoma/label\GT2016906-2-400-005.png
390,/Adenocarcinoma/label\GTXC2014153-3-400-005.png
391,/Adenocarcinoma/label\GTXC2015344-2-400-004.png
392,/Adenocarcinoma/label\GT2016836-1-400-002.png
393,/Adenocarcinoma/label\GTxc2014131-1-400-001.png
394,/Adenocarcinoma/label\GTxc2013496-2-400-003.png
395,/Adenocarcinoma/label\GTXC2110185-1-400-005.png
396,/Adenocarcinoma/label\GTXC2013386-1-400-007.png
397,/Adenocarcinoma/label\GTxc2012888-1-400-011.png
398,/Adenocarcinoma/label\GTxc2014144-5-400-003.png
399,/Adenocarcinoma/label\GTxc2013965-1-400-009.png
400,/Adenocarcinoma/label\GTxc2013961-1-400-001.png
401,/Adenocarcinoma/label\GTxc2013450-1-400-002.png
402,/Adenocarcinoma/label\GTxc2013512-1-400-007.png
403,/Adenocarcinoma/label\GTxc2013496-4-400-009.png
404,/Adenocarcinoma/label\GTxc2012962-1-400-001.png
405,/Adenocarcinoma/label\GTxc2012990-1-400-008.png
406,/Adenocarcinoma/label\GT2012353-1-400-001.png
407,/Adenocarcinoma/label\GT2016848-1-400-001.png
408,/Adenocarcinoma/label\GT2014662-3-400-002.png
409,/Adenocarcinoma/label\GTxc2012902-1-400-006.png
410,/Adenocarcinoma/label\GT2012165-1-400-005.png
411,/Adenocarcinoma/label\GTxc2012943-1-400-009.png
412,/Adenocarcinoma/label\GT2014665-3-400-002.png
413,/Adenocarcinoma/label\GTxc2013512-1-400-009.png
414,/Adenocarcinoma/label\GTxc2013512-1-400-014.png
415,/Adenocarcinoma/label\GTxc2014131-3-400-004.png
416,/Adenocarcinoma/label\GT2012358-2-400-001.png
417,/Adenocarcinoma/label\GTxc2012962-1-400-008.png
418,/Adenocarcinoma/label\GT2016846-4-400-001.png
419,/Adenocarcinoma/label\GTxc2012990-1-400-005.png
420,/Adenocarcinoma/label\GTXC2110135-2-400-001.png
421,/Adenocarcinoma/label\GTxc2012946-2-400-013.png
422,/Adenocarcinoma/label\GTxc2014131-1-400-002.png
423,/Adenocarcinoma/label\GT2014822-1-400-002.png
424,/Adenocarcinoma/label\GTXC2015349-2-400-004.png
425,/Adenocarcinoma/label\GTXC2015349-2-400-009.png
426,/Adenocarcinoma/label\GTxc2013512-1-400-002.png
427,/Adenocarcinoma/label\GT2016770-1-400-002.png
428,/Adenocarcinoma/label\GT2001837-1-400-005.png
429,/Adenocarcinoma/label\GTxc2013496-1-400-006.png
430,/Adenocarcinoma/label\GTxc2013512-2-400-014.png
431,/Adenocarcinoma/label\GTxc2013010-2-400-005.png
432,/Adenocarcinoma/label\GTxc2012946-2-400-006.png
433,/Adenocarcinoma/label\GT2012358-2-400-004.png
434,/Adenocarcinoma/label\GTxc2012990-1-400-004.png
435,/Adenocarcinoma/label\GTXC2015362-9-400-002.png
436,/Adenocarcinoma/label\GTxc2012888-1-400-008.png
437,/Adenocarcinoma/label\GT2012324-1-400-003.png
438,/Adenocarcinoma/label\GT2012165-1-400-002.png
439,/Adenocarcinoma/label\GT2014789-2-400-005.png
440,/Adenocarcinoma/label\GT2013084-1-400-006.png
441,/Adenocarcinoma/label\GT2012118-1-400-006.png
442,/Adenocarcinoma/label\GTxc2013512-2-400-012.png
443,/Adenocarcinoma/label\GT2016841-1-400-006.png
444,/Adenocarcinoma/label\GTxc2012822-1-400-003.png
445,/Adenocarcinoma/label\GTXC2014153-3-400-007.png
446,/Adenocarcinoma/label\GT2017150-1-400-002.png
447,/Adenocarcinoma/label\GTXC2015371-1-400-006.png
448,/Adenocarcinoma/label\GTxc2013512-1-400-001.png
449,/Adenocarcinoma/label\GTXC2015349-2-400-003.png
450,/Adenocarcinoma/label\GTxc2012996-2-400-004.png
451,/Adenocarcinoma/label\GTxc2012888-1-400-004.png
452,/Adenocarcinoma/label\GT2013118-1-400-002.png
453,/Adenocarcinoma/label\GT2012329-1-400-003.png
454,/Adenocarcinoma/label\GTXC2110185-1-400-004.png
455,/Adenocarcinoma/label\GTxc2013496-1-400-011.png
456,/Adenocarcinoma/label\GT2012525-1-400-004.png
457,/Adenocarcinoma/label\GTxc2014144-4-400-002.png
458,/Adenocarcinoma/label\GTxc2012902-1-400-002.png
459,/Adenocarcinoma/label\GT2012329-1-400-005.png
460,/Adenocarcinoma/label\GT2001849-1-400-005.png
461,/Adenocarcinoma/label\GT2014662-2-400-004.png
462,/Adenocarcinoma/label\GT2012219-1-400-003.png
