,Training_paths
145,/Adenocarcinoma/image\GTXC2015422-1-400-003.png
146,/Adenocarcinoma/image\GT2016906-1-400-002.png
147,/Adenocarcinoma/image\GT2100120-3-400-010.png
148,/Adenocarcinoma/image\GTxc2012946-2-400-009.png
149,/Adenocarcinoma/image\GT2013132-1-400-004.png
150,/Adenocarcinoma/image\GTxc2012990-1-400-006.png
151,/Adenocarcinoma/image\GTxc2012888-1-400-013.png
152,/Adenocarcinoma/image\GTxc2013962-1-400-002.png
153,/Adenocarcinoma/image\GTxc2012996-1-400-005.png
154,/Adenocarcinoma/image\GTXC2014131-1-400-008.png
155,/Adenocarcinoma/image\GT2016893-1-400-005.png
156,/Adenocarcinoma/image\GTxc2012996-3-400-007.png
157,/Adenocarcinoma/image\GT2100111-1-400-003.png
158,/Adenocarcinoma/image\GT2100120-3-400-002.png
159,/Adenocarcinoma/image\GTXC2102280-1-400-004.png
160,/Adenocarcinoma/image\GT2012324-1-400-002.png
161,/Adenocarcinoma/image\GTXC2013386-1-400-009.png
162,/Adenocarcinoma/image\GTXC2014131-1-400-010.png
163,/Adenocarcinoma/image\GTxc2012902-1-400-003.png
164,/Adenocarcinoma/image\GT2016885-3-400-002.png
165,/Adenocarcinoma/image\GT2014744-1-400-003.png
166,/Adenocarcinoma/image\GTxc2110176-3-400-006.png
167,/Adenocarcinoma/image\GTxc2013496-4-400-003.png
168,/Adenocarcinoma/image\GT2012358-2-400-013.png
169,/Adenocarcinoma/image\GT2012324-1-400-015.png
170,/Adenocarcinoma/image\GTxc2012996-3-400-002.png
171,/Adenocarcinoma/image\GTxc2012996-2-400-006.png
172,/Adenocarcinoma/image\GT2012358-2-400-006.png
173,/Adenocarcinoma/image\GTxc2012888-1-400-012.png
174,/Adenocarcinoma/image\GTxc2013512-2-400-016.png
175,/Adenocarcinoma/image\GTxc2012996-1-400-003.png
176,/Adenocarcinoma/image\GTXC2102280-1-400-008.png
177,/Adenocarcinoma/image\GT2014666-1-400-005.png
178,/Adenocarcinoma/image\GT2100011-2-400-006.png
179,/Adenocarcinoma/image\GTXC2015413-3-400-004.png
180,/Adenocarcinoma/image\GTxc2014131-1-400-003.png
181,/Adenocarcinoma/image\GTxc2014131-3-400-007.png
182,/Adenocarcinoma/image\GT2013152-2-400-003.png
183,/Adenocarcinoma/image\GT2012508-3-400-011.png
184,/Adenocarcinoma/image\GTxc2013489-1-400-003.png
185,/Adenocarcinoma/image\GTxc2013512-1-400-019.png
186,/Adenocarcinoma/image\GT2014667-2-400-001.png
187,/Adenocarcinoma/image\GTxc2012943-1-400-008.png
188,/Adenocarcinoma/image\GT2012324-1-400-006.png
189,/Adenocarcinoma/image\GTXC2110135-2-400-008.png
190,/Adenocarcinoma/image\GTxc2014144-5-400-004.png
191,/Adenocarcinoma/image\GTxc2012902-1-400-008.png
192,/Adenocarcinoma/image\GT2100120-4-400-003.png
193,/Adenocarcinoma/image\GTXC2013391-1-400-002.png
194,/Adenocarcinoma/image\GTxc2013965-1-400-008.png
195,/Adenocarcinoma/image\GT2013132-1-400-002.png
196,/Adenocarcinoma/image\GTXC2014131-1-400-009.png
197,/Adenocarcinoma/image\GT2013132-1-400-001.png
198,/Adenocarcinoma/image\GTXC2015354-1-400-001.png
199,/Adenocarcinoma/image\GT2016885-3-400-004.png
200,/Adenocarcinoma/image\GT2100120-4-400-002.png
201,/Adenocarcinoma/image\GT2001849-1-400-010.png
202,/Adenocarcinoma/image\GT2014665-5-400-001.png
203,/Adenocarcinoma/image\GTxc2013496-1-400-013.png
204,/Adenocarcinoma/image\GT2100120-3-400-004.png
205,/Adenocarcinoma/image\GTXC2015349-2-400-002.png
206,/Adenocarcinoma/image\GTxc2013980-1-400-005.png
207,/Adenocarcinoma/image\GT2001849-1-400-003.png
208,/Adenocarcinoma/image\GTXC2015362-9-400-003.png
209,/Adenocarcinoma/image\GTXC2015362-9-400-004.png
210,/Adenocarcinoma/image\GT2100111-1-400-001.png
211,/Adenocarcinoma/image\GTXC2013391-1-400-003.png
212,/Adenocarcinoma/image\GT2012118-1-400-004.png
213,/Adenocarcinoma/image\GTxc2012996-2-400-007.png
214,/Adenocarcinoma/image\GT2014665-3-400-001.png
215,/Adenocarcinoma/image\GT2012219-1-400-001.png
216,/Adenocarcinoma/image\GT2014666-1-400-001.png
217,/Adenocarcinoma/image\GT2016848-1-400-004.png
218,/Adenocarcinoma/image\GT2100011-1-400-004.png
219,/Adenocarcinoma/image\GTxc2014144-4-400-007.png
220,/Adenocarcinoma/image\GTXC2015371-1-400-004.png
221,/Adenocarcinoma/image\GTxc2013496-4-400-007.png
222,/Adenocarcinoma/image\GT2016893-1-400-009.png
223,/Adenocarcinoma/image\GTxc2013010-2-400-002.png
224,/Adenocarcinoma/image\GT2014662-2-400-002.png
225,/Adenocarcinoma/image\GT2012525-1-400-002.png
226,/Adenocarcinoma/image\GTXC2102280-1-400-003.png
227,/Adenocarcinoma/image\GTxc2012962-1-400-014.png
228,/Adenocarcinoma/image\GTXC2013386-1-400-001.png
229,/Adenocarcinoma/image\GTXC2015413-3-400-006.png
230,/Adenocarcinoma/image\GT2017150-1-400-001.png
231,/Adenocarcinoma/image\GT2012468-1-400-006.png
232,/Adenocarcinoma/image\GTxc2013512-1-400-017.png
233,/Adenocarcinoma/image\GT2014665-5-400-002.png
234,/Adenocarcinoma/image\GTXC2013391-1-400-008.png
235,/Adenocarcinoma/image\GTxc2012468-1-400-003.png
236,/Adenocarcinoma/image\GT2012324-1-400-013.png
237,/Adenocarcinoma/image\GTxc2012990-1-400-003.png
238,/Adenocarcinoma/image\GT2016827-1-400-002.png
239,/Adenocarcinoma/image\GT2016906-2-400-003.png
240,/Adenocarcinoma/image\GT2001849-1-400-008.png
241,/Adenocarcinoma/image\GT2012525-1-400-003.png
242,/Adenocarcinoma/image\GT2100120-4-400-004.png
243,/Adenocarcinoma/image\GT2016885-1-400-003.png
244,/Adenocarcinoma/image\GTxc2012943-1-400-005.png
245,/Adenocarcinoma/image\GTXC2110185-1-400-003.png
246,/Adenocarcinoma/image\GTxc2012996-3-400-001.png
247,/Adenocarcinoma/image\GTXC2110185-1-400-001.png
248,/Adenocarcinoma/image\GTxc2014131-3-400-005.png
249,/Adenocarcinoma/image\GT2014692-1-400-001.png
250,/Adenocarcinoma/image\GT2012508-3-400-002.png
251,/Adenocarcinoma/image\GTxc2012888-1-400-020.png
252,/Adenocarcinoma/image\GTxc2013512-2-400-007.png
253,/Adenocarcinoma/image\GTxc2013496-4-400-001.png
254,/Adenocarcinoma/image\GT2012353-1-400-010.png
255,/Adenocarcinoma/image\GT2014666-1-400-006.png
256,/Adenocarcinoma/image\GT2100011-2-400-003.png
257,/Adenocarcinoma/image\GTxc2014144-5-400-007.png
258,/Adenocarcinoma/image\GTxc2012996-1-400-001.png
259,/Adenocarcinoma/image\GTxc2012996-1-400-010.png
260,/Adenocarcinoma/image\GTxc2012962-1-400-004.png
261,/Adenocarcinoma/image\GTxc2013496-1-400-007.png
262,/Adenocarcinoma/image\GTxc2013512-2-400-005.png
263,/Adenocarcinoma/image\GTxc2013496-2-400-001.png
264,/Adenocarcinoma/image\GT2001838-1-400-001.png
265,/Adenocarcinoma/image\GTxc2014144-4-400-009.png
266,/Adenocarcinoma/image\GT2012324-1-400-001.png
267,/Adenocarcinoma/image\GTxc2013962-1-400-001.png
268,/Adenocarcinoma/image\GT2014662-2-400-005.png
269,/Adenocarcinoma/image\GTxc2013010-1-400-001.png
270,/Adenocarcinoma/image\GT2014665-4-400-001.png
271,/Adenocarcinoma/image\GT2001849-1-400-007.png
272,/Adenocarcinoma/image\GT2012324-1-400-004.png
273,/Adenocarcinoma/image\GTxc2014144-4-400-003.png
274,/Adenocarcinoma/image\GTxc2014131-3-400-003.png
275,/Adenocarcinoma/image\GTxc2012468-1-400-002.png
276,/Adenocarcinoma/image\GT2016906-2-400-006.png
277,/Adenocarcinoma/image\GTxc2012943-1-400-003.png
278,/Adenocarcinoma/image\GT2016841-1-400-001.png
279,/Adenocarcinoma/image\GT2012118-1-400-005.png
280,/Adenocarcinoma/image\GTxc2013451-1-400-005.png
281,/Adenocarcinoma/image\GTXC2015422-1-400-007.png
282,/Adenocarcinoma/image\GTXC2014065-1-400-002.png
283,/Adenocarcinoma/image\GT2016841-1-400-005.png
284,/Adenocarcinoma/image\GT2012165-1-400-007.png
285,/Adenocarcinoma/image\GTxc2014131-3-400-006.png
286,/Adenocarcinoma/image\GTXC2014153-3-400-003.png
287,/Adenocarcinoma/image\GTXC2110185-1-400-002.png
288,/Adenocarcinoma/image\GTxc2014144-3-400-001.png
289,/Adenocarcinoma/image\GTxc2013512-1-400-004.png
290,/Adenocarcinoma/image\GTxc2012996-2-400-002.png
291,/Adenocarcinoma/image\GT2014744-1-400-002.png
292,/Adenocarcinoma/image\GTxc2013512-1-400-006.png
293,/Adenocarcinoma/image\GTxc2013512-1-400-015.png
294,/Adenocarcinoma/image\GTxc2012888-1-400-009.png
295,/Adenocarcinoma/image\GTxc2014144-3-400-003.png
296,/Adenocarcinoma/image\GTxc2013496-3-400-005.png
297,/Adenocarcinoma/image\GTxc2014144-3-400-002.png
298,/Adenocarcinoma/image\GT2014662-3-400-005.png
299,/Adenocarcinoma/image\GTxc2012990-1-400-002.png
300,/Adenocarcinoma/image\GT2014662-1-400-002.png
301,/Adenocarcinoma/image\GTxc2013496-1-400-003.png
302,/Adenocarcinoma/image\GTxc2012990-1-400-001.png
303,/Adenocarcinoma/image\GTxc2013010-2-400-003.png
304,/Adenocarcinoma/image\GT2012468-1-400-004.png
305,/Adenocarcinoma/image\GT2016841-1-400-002.png
306,/Adenocarcinoma/image\GTxc2013964-2-400-004.png
307,/Adenocarcinoma/image\GT2012358-2-400-009.png
308,/Adenocarcinoma/image\GTXC2015401-1-400-003.png
309,/Adenocarcinoma/image\GTXC2015401-1-400-001.png
310,/Adenocarcinoma/image\GT2012508-3-400-006.png
311,/Adenocarcinoma/image\GT2012324-1-400-009.png
312,/Adenocarcinoma/image\GT2014662-1-400-001.png
313,/Adenocarcinoma/image\GTXC2015354-1-400-005.png
314,/Adenocarcinoma/image\GTxc2014065-2-400-003.png
315,/Adenocarcinoma/image\GT2014822-1-400-003.png
316,/Adenocarcinoma/image\GTxc2013496-4-400-008.png
317,/Adenocarcinoma/image\GTxc2013392-2-400-003.png
318,/Adenocarcinoma/image\GT2001838-1-400-004.png
319,/Adenocarcinoma/image\GTxc2013512-1-400-021.png
320,/Adenocarcinoma/image\GT2012165-1-400-006.png
321,/Adenocarcinoma/image\GTXC2102280-1-400-006.png
322,/Adenocarcinoma/image\GT2016885-1-400-001.png
323,/Adenocarcinoma/image\GT2100011-2-400-005.png
324,/Adenocarcinoma/image\GTxc2013010-1-400-002.png
325,/Adenocarcinoma/image\GTxc2013496-1-400-008.png
326,/Adenocarcinoma/image\GTxc2012996-1-400-007.png
327,/Adenocarcinoma/image\GT2016885-3-400-003.png
328,/Adenocarcinoma/image\GT2100011-1-400-003.png
329,/Adenocarcinoma/image\GTXC2015371-1-400-002.png
330,/Adenocarcinoma/image\GT2014209-1-400-001.png
331,/Adenocarcinoma/image\GTxc2013489-1-400-005.png
332,/Adenocarcinoma/image\GTxc2013512-2-400-010.png
333,/Adenocarcinoma/image\GTxc2012946-2-400-010.png
334,/Adenocarcinoma/image\GTxc2012822-1-400-002.png
335,/Adenocarcinoma/image\GT2013152-2-400-001.png
336,/Adenocarcinoma/image\GT2013151-1-400-001.png
337,/Adenocarcinoma/image\GTxc2012996-1-400-008.png
338,/Adenocarcinoma/image\GTxc2013980-1-400-002.png
339,/Adenocarcinoma/image\GTxc2012996-3-400-004.png
340,/Adenocarcinoma/image\GTXC2013386-1-400-008.png
341,/Adenocarcinoma/image\GTXC2110135-2-400-004.png
342,/Adenocarcinoma/image\GT2100276-1-400-001.png
343,/Adenocarcinoma/image\GT2014667-2-400-002.png
344,/Adenocarcinoma/image\GT2012508-3-400-010.png
345,/Adenocarcinoma/image\GTxc2013512-1-400-005.png
346,/Adenocarcinoma/image\GT2013132-1-400-003.png
347,/Adenocarcinoma/image\GTxc2014131-1-400-005.png
348,/Adenocarcinoma/image\GT2014789-2-400-002.png
349,/Adenocarcinoma/image\GT2016906-2-400-002.png
350,/Adenocarcinoma/image\GT2100009-1-400-002.png
351,/Adenocarcinoma/image\GTXC2015354-1-400-002.png
352,/Adenocarcinoma/image\GT2012508-3-400-009.png
353,/Adenocarcinoma/image\GT2014667-1-400-003.png
354,/Adenocarcinoma/image\GT2014818-1-400-001.png
355,/Adenocarcinoma/image\GTXC2015422-1-400-008.png
356,/Adenocarcinoma/image\GT2016848-1-400-005.png
357,/Adenocarcinoma/image\GTXC2015371-1-400-003.png
358,/Adenocarcinoma/image\GTxc2013512-2-400-009.png
359,/Adenocarcinoma/image\GT2013084-1-400-001.png
360,/Adenocarcinoma/image\GTXC2015354-1-400-004.png
361,/Adenocarcinoma/image\GTxc2013489-1-400-001.png
362,/Adenocarcinoma/image\GTxc2013450-1-400-004.png
363,/Adenocarcinoma/image\GTxc2013962-1-400-003.png
364,/Adenocarcinoma/image\GT2016781-1-400-002.png
365,/Adenocarcinoma/image\GTxc2013964-2-400-002.png
366,/Adenocarcinoma/image\GTxc2013450-1-400-001.png
367,/Adenocarcinoma/image\GTxc2013965-1-400-001.png
368,/Adenocarcinoma/image\GTxc2013392-2-400-002.png
369,/Adenocarcinoma/image\GTXC2015344-2-400-006.png
370,/Adenocarcinoma/image\GTxc2014144-3-400-005.png
371,/Adenocarcinoma/image\GTxc2012888-1-400-015.png
372,/Adenocarcinoma/image\GT2016893-1-400-004.png
373,/Adenocarcinoma/image\GTxc2013496-2-400-007.png
374,/Adenocarcinoma/image\GTXC2015426-1-400-002.png
375,/Adenocarcinoma/image\GTxc2012888-1-400-002.png
376,/Adenocarcinoma/image\GT2012468-1-400-005.png
377,/Adenocarcinoma/image\GT2016841-2-400-002.png
378,/Adenocarcinoma/image\GTxc2013512-1-400-020.png
379,/Adenocarcinoma/image\GTxc2013010-1-400-005.png
380,/Adenocarcinoma/image\GTXC2014153-3-400-002.png
381,/Adenocarcinoma/image\GT2016841-2-400-003.png
382,/Adenocarcinoma/image\GTxc2013489-1-400-002.png
383,/Adenocarcinoma/image\GT2100120-3-400-009.png
384,/Adenocarcinoma/image\GTXC2015362-9-400-006.png
385,/Adenocarcinoma/image\GTxc2013512-2-400-015.png
386,/Adenocarcinoma/image\GTXC2013391-1-400-007.png
387,/Adenocarcinoma/image\GT2016885-2-400-001.png
388,/Adenocarcinoma/image\GTxc2013451-1-400-004.png
389,/Adenocarcinoma/image\GT2016906-2-400-005.png
390,/Adenocarcinoma/image\GTXC2014153-3-400-005.png
391,/Adenocarcinoma/image\GTXC2015344-2-400-004.png
392,/Adenocarcinoma/image\GT2016836-1-400-002.png
393,/Adenocarcinoma/image\GTxc2014131-1-400-001.png
394,/Adenocarcinoma/image\GTxc2013496-2-400-003.png
395,/Adenocarcinoma/image\GTXC2110185-1-400-005.png
396,/Adenocarcinoma/image\GTXC2013386-1-400-007.png
397,/Adenocarcinoma/image\GTxc2012888-1-400-011.png
398,/Adenocarcinoma/image\GTxc2014144-5-400-003.png
399,/Adenocarcinoma/image\GTxc2013965-1-400-009.png
400,/Adenocarcinoma/image\GTxc2013961-1-400-001.png
401,/Adenocarcinoma/image\GTxc2013450-1-400-002.png
402,/Adenocarcinoma/image\GTxc2013512-1-400-007.png
403,/Adenocarcinoma/image\GTxc2013496-4-400-009.png
404,/Adenocarcinoma/image\GTxc2012962-1-400-001.png
405,/Adenocarcinoma/image\GTxc2012990-1-400-008.png
406,/Adenocarcinoma/image\GT2012353-1-400-001.png
407,/Adenocarcinoma/image\GT2016848-1-400-001.png
408,/Adenocarcinoma/image\GT2014662-3-400-002.png
409,/Adenocarcinoma/image\GTxc2012902-1-400-006.png
410,/Adenocarcinoma/image\GT2012165-1-400-005.png
411,/Adenocarcinoma/image\GTxc2012943-1-400-009.png
412,/Adenocarcinoma/image\GT2014665-3-400-002.png
413,/Adenocarcinoma/image\GTxc2013512-1-400-009.png
414,/Adenocarcinoma/image\GTxc2013512-1-400-014.png
415,/Adenocarcinoma/image\GTxc2014131-3-400-004.png
416,/Adenocarcinoma/image\GT2012358-2-400-001.png
417,/Adenocarcinoma/image\GTxc2012962-1-400-008.png
418,/Adenocarcinoma/image\GT2016846-4-400-001.png
419,/Adenocarcinoma/image\GTxc2012990-1-400-005.png
420,/Adenocarcinoma/image\GTXC2110135-2-400-001.png
421,/Adenocarcinoma/image\GTxc2012946-2-400-013.png
422,/Adenocarcinoma/image\GTxc2014131-1-400-002.png
423,/Adenocarcinoma/image\GT2014822-1-400-002.png
424,/Adenocarcinoma/image\GTXC2015349-2-400-004.png
425,/Adenocarcinoma/image\GTXC2015349-2-400-009.png
426,/Adenocarcinoma/image\GTxc2013512-1-400-002.png
427,/Adenocarcinoma/image\GT2016770-1-400-002.png
428,/Adenocarcinoma/image\GT2001837-1-400-005.png
429,/Adenocarcinoma/image\GTxc2013496-1-400-006.png
430,/Adenocarcinoma/image\GTxc2013512-2-400-014.png
431,/Adenocarcinoma/image\GTxc2013010-2-400-005.png
432,/Adenocarcinoma/image\GTxc2012946-2-400-006.png
433,/Adenocarcinoma/image\GT2012358-2-400-004.png
434,/Adenocarcinoma/image\GTxc2012990-1-400-004.png
435,/Adenocarcinoma/image\GTXC2015362-9-400-002.png
436,/Adenocarcinoma/image\GTxc2012888-1-400-008.png
437,/Adenocarcinoma/image\GT2012324-1-400-003.png
438,/Adenocarcinoma/image\GT2012165-1-400-002.png
439,/Adenocarcinoma/image\GT2014789-2-400-005.png
440,/Adenocarcinoma/image\GT2013084-1-400-006.png
441,/Adenocarcinoma/image\GT2012118-1-400-006.png
442,/Adenocarcinoma/image\GTxc2013512-2-400-012.png
443,/Adenocarcinoma/image\GT2016841-1-400-006.png
444,/Adenocarcinoma/image\GTxc2012822-1-400-003.png
445,/Adenocarcinoma/image\GTXC2014153-3-400-007.png
446,/Adenocarcinoma/image\GT2017150-1-400-002.png
447,/Adenocarcinoma/image\GTXC2015371-1-400-006.png
448,/Adenocarcinoma/image\GTxc2013512-1-400-001.png
449,/Adenocarcinoma/image\GTXC2015349-2-400-003.png
450,/Adenocarcinoma/image\GTxc2012996-2-400-004.png
451,/Adenocarcinoma/image\GTxc2012888-1-400-004.png
452,/Adenocarcinoma/image\GT2013118-1-400-002.png
453,/Adenocarcinoma/image\GT2012329-1-400-003.png
454,/Adenocarcinoma/image\GTXC2110185-1-400-004.png
455,/Adenocarcinoma/image\GTxc2013496-1-400-011.png
456,/Adenocarcinoma/image\GT2012525-1-400-004.png
457,/Adenocarcinoma/image\GTxc2014144-4-400-002.png
458,/Adenocarcinoma/image\GTxc2012902-1-400-002.png
459,/Adenocarcinoma/image\GT2012329-1-400-005.png
460,/Adenocarcinoma/image\GT2001849-1-400-005.png
461,/Adenocarcinoma/image\GT2014662-2-400-004.png
462,/Adenocarcinoma/image\GT2012219-1-400-003.png
